campaign_id,audience_segment,creative_size.userid,creative_messaging,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
LI12Z,Transactional » Q2 Graduation Gift Shoppers,300x250 | FNGJA1454X,Sign up Today - 10% Off,ebay.com,Index Exchange,Smartphone,144088,490,26416,137369,7,1464.064235
UX95W,Online Behavior>United States>Beauty and Fitness>Fitness » Gyms and Health Clubs,320x50 | ZUCTB2527E,Sign up Today - 10% Off,rollingstone.com,Google Ad Manager,Smartphone,25835,69,3753,20808,11,5751.912297
OC57A,Online Behavior>United States>Intent » Shopping>Sports and Outdoors,320x50 | ZMFKM9001I,Subscribe Today - 10% Discount,findagrave.com,Magnite DV+,Smartphone,26304,75,12354,17500,11,4727.813916
YF50T,Online Behavior>United States>Beauty and Fitness>Hair Care,320x50 | ZMFKM9001I,Sign up Today - 10% Off,msn.com,Google Ad Manager,Smartphone,999915,2748,618816,829942,23,7879.316787
YH75O,Mobile - US » Automotive » Vehicle Ownership » Brand » BMW,320x50 | ZMFKM9001I,10% Discount - Ends 6/1,uscellular.com,BidSwitch,Smartphone,17561,50,2960,9953,10,1519.90401
IW60U,Online Behavior>United States>B2B » Occupation>OfficeManager,300x250 | GRYMN2282K,Subscribe Today - 10% Discount,dafont.com,BidSwitch,Windows PC,24464,0,3275,21993,6,2959.114973
KB64W,Online Behavior>United States>Food and Drink>Restaurants » Fast Food,300x50 | YDCFZ9825B,Sign up Now - 10% Off,macrumors.com,Google Ad Manager,Smartphone,7822,25,3786,7232,13,6781.821647
VJ53T,Online Behavior>United States>Intent » Auto Buyers » Car Make>Nissan,320x50 | FKKDR3691J,Subscribe Today - 10% Discount,britannica.com,Google Ad Manager,Smartphone,8068,10,5545,7554,1,5995.041002
CE62P,OnAudience » Interest » Arts & Entertainment » Celebrity Fan » Gossip,300x250 | FKKDR3691J,Subscribe Today - 10% Discount,ebay.com,BidSwitch,Smartphone,77703,204,33478,72874,3,1566.912406
WH67W,"Online Behavior>United States>Finance » Grants, Scholarships and Financial Aid>Government Grants",300x250 | FKKDR3691J,Subscribe Today - 10% Discount,signupgenius.com,BidSwitch,Smartphone,14350,60,8228,13396,6,6114.034936
GW85C,Online Behavior>United States>Beauty and Fitness>Weight Loss,300x50 | IECYH3530S,Sign up Now - 10% Off,mail.yahoo.com,Magnite DV+,Smartphone,1083050,3984,590156,953556,19,7495.749847
YD50C,Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Olympics,300x250 | IECYH3530S,Subscribe Today - 10% Discount,nba.com,Google Ad Manager,Smartphone,10883,46,1652,8869,16,1942.482395
UV55D,Mobile - US » Sports » Motor Sports » NASCAR,320x50 | IECYH3530S,Sign up Now - 10% Off,yahoo.com,Google Ad Manager,Smartphone,74516,200,23985,63853,24,1523.783909
DZ71L,US » Demographic » Family » Female Head of Household,300x250 | IRHJI8002Z,Subscribe Today - 10% Discount,att.yahoo.com,Google Ad Manager,Smartphone,14984,63,9614,14086,3,1505.009635
GB72T,Online Behavior>United States>Online Communities>Photo and Video Sharing,300x250 | IRHJI8002Z,Subscribe Today - 10% Discount,flightaware.com,PubMatic,Smartphone,12136,97,2089,11500,3,5224.932463
SZ28P,Online Behavior>United States>Intent » Auto Buyers » Category>Sport Cars,320x50 | IRHJI8002Z,Sign up Today - 10% Off,people.com,Google Ad Manager,Smartphone,81567,440,53264,68123,4,6392.471955
NK59I,Online Behavior>United States>Autos and Vehicles » Brands>Dodge,300x250 | SXETB3323X,10% Discount - Ends 6/1,autotrader.com,BidSwitch,Smartphone,43057,122,23767,41484,7,5884.931394
IW87Z,Online Behavior>United States>Validated Demographic » Age>18-54,320x50 | GYVSO4436P,10% Discount - Ends 6/1,macrumors.com,PubMatic,Smartphone,12214,50,5376,11490,7,5616.309402
PO18Y,Online Behavior>United States>News>Local News,320x50 | FYGPX7454T,Sign up Today - 10% Off,realtor.com,Yahoo Exchange,Smartphone,44889,125,17477,38621,25,6644.954146
FS18I,US » Interest Propensities » Food and Drink » American Cuisine,320x50 | FYGPX7454T,Sign up Today - 10% Off,realtor.com,Google Ad Manager,Smartphone,85280,211,35860,79837,5,2217.932092
BR75Q,Online Behavior>United States>B2B » Occupation>Student,300x250 | HNVLH7748V,10% Discount - Ends 6/1,ebay.com,Google Ad Manager,Windows PC,39163,113,16254,36526,15,5692.765813
YT67Y,US » Reach » Propensity Models » Hobbies and Interest » Sports » Plays Soccer,300x250 | HNVLH7748V,Sign up Now - 10% Off,health.usnews.com,Google Ad Manager,Smartphone,8730,22,3725,7413,3,3268.007134
FM76P,US »Price-Driven Traditionalist Audience,300x250 | HNVLH7748V,10% Discount - Ends 6/1,screenrant.com,Sovrn,Windows PC,35043,140,20942,33479,24,1527.97628
